texts,scores
complaining,0.0
failing to support,0.0
desperately needs,0.0
many years of decay,0.0
no quick fix,0.0
is happy,0.0
long and painful,0.0
nobody is happy,0.0
a very complicated process,0.0
a decade of dramatic economic decline,0.0
suffering from,0.0
would surely be higher still,0.0
had forbidden,0.0
suffering from some intoxication,0.0
far from perfect,0.0
soured relations between,0.0
fell out,0.0
mounting rivalry,0.0
a hostile nation,0.0
have each accused the other,0.0
bowed to,0.0
totally dependent,0.0
lose control,0.0
warned,0.0
to heel,0.0
bowed to pressure,0.0
to its knees,0.0
military adventurism,0.0
would boost,0.0
threaten,0.0
most heavily armed place in the world,0.0
dangerous flashpoint,0.0
wanted to avoid,0.0
a superficial exercise,0.0
accusing,0.0
merely speaks,0.0
deep divergences,0.0
negatively,0.0
biased,0.0
claims,0.0
was biased against,0.0
complaints of,0.0
suspicions,0.0
squeezing,0.0
ruinous mistake,0.0
playing with fire,0.0
subverts,0.0
trying to provoke protests,0.0
his mdc lot,0.0
will not,0.0
most dangerous,0.0
expressed concern,0.0
shoot the man out of office,0.0
that extreme,0.0
keen to fight,0.0
are agitating,0.0
allegedly threatening,0.0
will remove you violently,0.0
are reluctant,0.0
villains,0.0
do n't want,0.0
challenged,0.0
flirting with,0.0
at it again,0.0
charges,0.0
opposed,0.0
alleged,0.0
wants to speak the language of violence,0.0
shoot president mugabe out of office,0.0
fears,0.0
has refused to bow,0.0
parliamentarian,0.0
still - tense relationship,0.0
our renegade province,0.0
unusual,0.0
so worried,0.0
disapproved,0.0
so - called stop - over tactic,0.0
will not resort,0.0
private diplomacy,0.0
protests,0.0
opposes,0.0
gulf between,0.0
do not possess the necessary expertise,0.0
is an act of objectionable brutality,0.0
just to gain popularity,0.0
may feel uneasy,0.0
this is a question of,0.0
certain excesses,0.0
should not be loaded with all the world's sins,0.0
does not function optimally,0.0
is colored by leftist ideology,0.0
hype,0.0
even worse,0.0
fostering trade anarchy,0.0
this is no blind violence but rather targeted violence,0.0
"there is no alternative to it but conflict , isolation , nationalism , and ultimately war",0.0
cold monster,0.0
wants,0.0
immense gulf between,0.0
slow,0.0
are needed,0.0
the brutality with which this closure was implemented was unheard of,0.0
thought,0.0
are worried,0.0
was annoyed,0.0
lost the game,0.0
but there is little i can do,0.0
would totally liberalize,0.0
only got worse,0.0
ideological fight against capitalism,0.0
we are living in a politically highly sophisticated society,0.0
"summits , '",0.0
but the alternatives are worse,0.0
rejects,0.0
think,0.0
not,0.0
however,0.0
not what it is all about,0.0
is accused,0.0
illegible,0.0
crises,0.0
fierce competition,0.0
no right,0.0
declining to comply,0.0
reject,0.0
had relentlessly demonstrated,0.0
abandonment,0.0
declining,0.0
discrediting,0.0
in fact unprecedented,0.0
more serious,0.0
protests leveled by,0.0
weak,0.0
fierce opposition,0.0
were opposing,0.0
got out of hand,0.0
concocted,0.0
without effective,0.0
fierce demonstrations,0.0
relentlessly demonstrated,0.0
criticisms,0.0
in fact poverty,0.0
does not entitle,0.0
reached boiling point,0.0
roughly,0.0
the demonstrations,0.0
lacked conclusiveness and were not operational,0.0
reducing their margin of security,0.0
firm opposition,0.0
flopped completely,0.0
reserves,0.0
failed experiences,0.0
already volatile,0.0
intense dissatisfaction and frustration,0.0
breeds insecurity,0.0
undermining,0.0
position and particular stance opposed to,0.0
controlling the world of politics globally,0.0
very easily lost,0.0
raising concerns,0.0
and killed,0.0
reminded,0.0
whose land was occupied,0.0
scenes of destruction,0.0
tragic and shocking,0.0
persecuting,0.0
enormous injustice,0.0
scenes of destruction,0.0
who were expelled from their homeland,0.0
bombarded,0.0
hatred,0.0
feeling sorry,0.0
falling victim,0.0
expressed sympathy,0.0
grief and sorrow,0.0
suffered,0.0
take advantage of the us tragedy,0.0
demolished,0.0
has struck innocent women and children and defenseless civilians,0.0
denying them the right,0.0
totally biased,0.0
a twisted logic,0.0
ongoing devastation,0.0
destroying,0.0
who were deprived of the minimum political and human rights,0.0
refusing,0.0
charged,0.0
do not want,0.0
could undermine,0.0
have been warned,0.0
one of the worst days in american history,0.0
great shock and sorrow,0.0
ghastly and barbaric,0.0
strongly condemn,0.0
labelling,0.0
act of terrorism,0.0
attack on our global village,0.0
loss of innocent lives,0.0
condemns unreservedly and in the strongest terms,0.0
ghastly and barbaric act of terrorism,0.0
trying time,0.0
wanton destruction of property,0.0
condemned,0.0
turned down,0.0
would not stand idly by,0.0
disruption of peace for mankind,0.0
voiced his condolences,0.0
everything good and nice,0.0
exceeded,0.0
continued to keep alive,0.0
dramatic,0.0
not easy,0.0
context of the struggle against international terrorism,0.0
was criticized,0.0
had caused the demise,0.0
a threat,0.0
keep a distance from america,0.0
chapter of international terror .,0.0
this warning,0.0
the common enemy,0.0
did not succeed,0.0
may be seen behind terror,0.0
"hands behind chechen terrorism ,",0.0
much more than what one could have expected,0.0
has written the name of moscow on the registration page of the american side,0.0
the cold war stereotype,0.0
they rubbed their palms at length,0.0
only,0.0
suspected,0.0
suspected,0.0
leak over the frontiers,0.0
suspected,0.0
unsure,0.0
desperate,0.0
only too aware,0.0
ensure instability or militancy,0.0
mastermind of the terror attacks,0.0
warned,0.0
however,0.0
already disastrous,0.0
unavoidable,0.0
tragic culmination,0.0
play its trump card,0.0
commit further acts of terrorism,0.0
difficult,0.0
unbelievable provocation,0.0
necessary evil,0.0
destroy the very foundations of the west,0.0
a degree of repression,0.0
