dataset,model,representation,fold,best_params,accuracy,f1_macro,f1_weighted
SMSSpamCollection.csv,dt,tfidf,1,"{'max_depth': 20, 'min_samples_split': 2}",0.9647577092511013,0.9231810490693739,0.9657535573991667
SMSSpamCollection.csv,dt,tfidf,2,"{'max_depth': 20, 'min_samples_split': 5}",0.9779735682819384,0.9498431216580494,0.9771462022047651
SMSSpamCollection.csv,dt,tfidf,3,"{'max_depth': None, 'min_samples_split': 2}",0.9691629955947136,0.9275917065390749,0.9703714632998194
SMSSpamCollection.csv,dt,tfidf,4,"{'max_depth': None, 'min_samples_split': 2}",0.9515418502202643,0.8958411546322946,0.949864118425446
SMSSpamCollection.csv,dt,tfidf,5,"{'max_depth': 20, 'min_samples_split': 5}",0.933920704845815,0.85796521086222,0.9298026358948973
SMSSpamCollection.csv,dt,tfidf,6,"{'max_depth': None, 'min_samples_split': 2}",0.9559471365638766,0.8914083429008802,0.956684722777168
SMSSpamCollection.csv,dt,tfidf,7,"{'max_depth': None, 'min_samples_split': 5}",0.9424778761061947,0.873291068271014,0.9395778302687918
SMSSpamCollection.csv,dt,tfidf,8,"{'max_depth': None, 'min_samples_split': 5}",0.9336283185840708,0.8746811578130198,0.9324874057949536
SMSSpamCollection.csv,dt,tfidf,9,"{'max_depth': 20, 'min_samples_split': 5}",0.9380530973451328,0.8868868868868869,0.9380530973451328
SMSSpamCollection.csv,dt,tfidf,10,"{'max_depth': 20, 'min_samples_split': 2}",0.9646017699115044,0.9184704184704184,0.9635163263481848
