dataset,model,representation,fold,best_params,accuracy,f1_macro,f1_weighted
SMSSpamCollection.csv,knn,tfidf,1,"{'metric': 'euclidean', 'n_neighbors': 3}",0.9383259911894273,0.8163430420711975,0.9290948490939936
SMSSpamCollection.csv,knn,tfidf,2,"{'metric': 'euclidean', 'n_neighbors': 3}",0.8942731277533039,0.6553643724696356,0.863935508034743
SMSSpamCollection.csv,knn,tfidf,3,"{'metric': 'euclidean', 'n_neighbors': 3}",0.933920704845815,0.7678145243777702,0.920943659496749
SMSSpamCollection.csv,knn,tfidf,4,"{'metric': 'euclidean', 'n_neighbors': 3}",0.8898678414096917,0.6648556073938463,0.8596242615688522
SMSSpamCollection.csv,knn,tfidf,5,"{'metric': 'euclidean', 'n_neighbors': 3}",0.8898678414096917,0.6916598750339582,0.8626414724020359
SMSSpamCollection.csv,knn,tfidf,6,"{'metric': 'euclidean', 'n_neighbors': 3}",0.9295154185022027,0.7456582633053221,0.9142733745480571
SMSSpamCollection.csv,knn,tfidf,7,"{'metric': 'euclidean', 'n_neighbors': 3}",0.9070796460176991,0.7408681408681408,0.8877954382379161
SMSSpamCollection.csv,knn,tfidf,8,"{'metric': 'euclidean', 'n_neighbors': 3}",0.8716814159292036,0.6421512421512422,0.8349058632244474
SMSSpamCollection.csv,knn,tfidf,9,"{'metric': 'euclidean', 'n_neighbors': 3}",0.8672566371681416,0.6223262032085561,0.826883488713265
SMSSpamCollection.csv,knn,tfidf,10,"{'metric': 'euclidean', 'n_neighbors': 3}",0.9026548672566371,0.6839562674802949,0.8770624779211077
