dataset,model,representation,fold,best_params,accuracy,f1_macro,f1_weighted
Movie_Review.csv,svm,word2vec,1,"{'C': 10, 'kernel': 'linear'}",0.5960637300843487,0.5910623218755697,0.5911047066908982
Movie_Review.csv,svm,word2vec,2,"{'C': 10, 'kernel': 'linear'}",0.6163227016885553,0.6148908562701666,0.6148908562701665
Movie_Review.csv,svm,word2vec,3,"{'C': 10, 'kernel': 'linear'}",0.626641651031895,0.6246319470003681,0.6246319470003681
Movie_Review.csv,svm,word2vec,4,"{'C': 10, 'kernel': 'linear'}",0.6031894934333959,0.60014613725019,0.60014613725019
Movie_Review.csv,svm,word2vec,5,"{'C': 10, 'kernel': 'linear'}",0.5722326454033771,0.5674579022114019,0.5674579022114019
Movie_Review.csv,svm,word2vec,6,"{'C': 10, 'kernel': 'linear'}",0.599437148217636,0.5942088676713781,0.5942088676713781
Movie_Review.csv,svm,word2vec,7,"{'C': 10, 'kernel': 'linear'}",0.5863039399624765,0.5787229580959703,0.5787229580959703
Movie_Review.csv,svm,word2vec,8,"{'C': 10, 'kernel': 'linear'}",0.5956848030018762,0.592167271016506,0.592167271016506
Movie_Review.csv,svm,word2vec,9,"{'C': 10, 'kernel': 'linear'}",0.6106941838649156,0.6077083852454582,0.6077083852454583
Movie_Review.csv,svm,word2vec,10,"{'C': 10, 'kernel': 'linear'}",0.5909943714821764,0.5864290468512527,0.5864290468512527
