dataset,model,representation,fold,best_params,accuracy,f1_macro,f1_weighted
MPQA.csv,svm,fasttext,1,"{'C': 10, 'kernel': 'rbf'}",0.6861451460885957,0.40693124650642815,0.5599619414697314
MPQA.csv,svm,fasttext,2,"{'C': 10, 'kernel': 'rbf'}",0.6908576814326107,0.420079453954034,0.56910085086983
MPQA.csv,svm,fasttext,3,"{'C': 10, 'kernel': 'rbf'}",0.6880301602262017,0.41049322100188507,0.5626048126921356
MPQA.csv,svm,fasttext,4,"{'C': 1, 'kernel': 'rbf'}",0.6899151743638078,0.41690150255994785,0.5661941027061357
MPQA.csv,svm,fasttext,5,"{'C': 10, 'kernel': 'rbf'}",0.6852026390197926,0.4065995525727069,0.5587390647040591
MPQA.csv,svm,fasttext,6,"{'C': 10, 'kernel': 'rbf'}",0.690566037735849,0.4171567279774158,0.5670422724455375
MPQA.csv,svm,fasttext,7,"{'C': 10, 'kernel': 'rbf'}",0.6867924528301886,0.4100488831966526,0.561762300158288
MPQA.csv,svm,fasttext,8,"{'C': 1, 'kernel': 'rbf'}",0.6886792452830188,0.4136028055870342,0.5644022863019129
MPQA.csv,svm,fasttext,9,"{'C': 1, 'kernel': 'rbf'}",0.6886792452830188,0.4107301689981402,0.5626858453187195
MPQA.csv,svm,fasttext,10,"{'C': 10, 'kernel': 'rbf'}",0.6886792452830188,0.4136028055870342,0.5644022863019129
