dataset,model,representation,fold,best_params,accuracy,f1_macro,f1_weighted
MPQA.csv,svm,tfidf,1,"{'C': 1, 'kernel': 'linear'}",0.8284637134778511,0.7817168565744257,0.8197046282739505
MPQA.csv,svm,tfidf,2,"{'C': 1, 'kernel': 'linear'}",0.8171536286522149,0.7662825765076713,0.8072877276302428
MPQA.csv,svm,tfidf,3,"{'C': 1, 'kernel': 'linear'}",0.8397737983034873,0.8036673720142463,0.8353299304525039
MPQA.csv,svm,tfidf,4,"{'C': 1, 'kernel': 'linear'}",0.8322337417530632,0.7919222768699208,0.826191338023256
MPQA.csv,svm,tfidf,5,"{'C': 1, 'kernel': 'linear'}",0.824693685202639,0.7825704690887937,0.8183797127658742
MPQA.csv,svm,tfidf,6,"{'C': 1, 'kernel': 'linear'}",0.8301886792452831,0.7868432694756881,0.8229342173591584
MPQA.csv,svm,tfidf,7,"{'C': 1, 'kernel': 'linear'}",0.8320754716981132,0.7864402942840973,0.8235072343060938
MPQA.csv,svm,tfidf,8,"{'C': 1, 'kernel': 'linear'}",0.8283018867924529,0.7867288099617942,0.8220836915400039
MPQA.csv,svm,tfidf,9,"{'C': 1, 'kernel': 'linear'}",0.8160377358490566,0.7609075104190886,0.804015230892816
MPQA.csv,svm,tfidf,10,"{'C': 1, 'kernel': 'linear'}",0.8367924528301887,0.7966418965599456,0.8305695428350129
