dataset,model,representation,fold,best_params,accuracy,f1_macro,f1_weighted
MPQA.csv,svm,word2vec,1,"{'C': 1, 'kernel': 'rbf'}",0.8086710650329878,0.7437640158702776,0.7922619795705048
MPQA.csv,svm,word2vec,2,"{'C': 10, 'kernel': 'rbf'}",0.820923656927427,0.7826982114830721,0.8169722625668869
MPQA.csv,svm,word2vec,3,"{'C': 1, 'kernel': 'rbf'}",0.8105560791705938,0.7462885083247578,0.7943086595747364
MPQA.csv,svm,word2vec,4,"{'C': 10, 'kernel': 'rbf'}",0.824693685202639,0.789661832041542,0.8217811061869358
MPQA.csv,svm,word2vec,5,"{'C': 1, 'kernel': 'rbf'}",0.8077285579641847,0.7421738757540238,0.7908191259174516
MPQA.csv,svm,word2vec,6,"{'C': 1, 'kernel': 'rbf'}",0.8018867924528302,0.7266914191419143,0.780518323058721
MPQA.csv,svm,word2vec,7,"{'C': 1, 'kernel': 'rbf'}",0.8047169811320755,0.7372942335713114,0.7872649105344103
MPQA.csv,svm,word2vec,8,"{'C': 10, 'kernel': 'rbf'}",0.8160377358490566,0.7811936642492465,0.8139783935559236
MPQA.csv,svm,word2vec,9,"{'C': 1, 'kernel': 'rbf'}",0.8066037735849056,0.732833672055484,0.7855455219813544
MPQA.csv,svm,word2vec,10,"{'C': 1, 'kernel': 'rbf'}",0.8179245283018868,0.7581427900944706,0.8032910477919121
