dataset,model,representation,fold,best_params,accuracy,f1_macro,f1_weighted
SMSSpamCollection.csv,svm,fasttext,1,"{'C': 0.1, 'kernel': 'linear'}",0.8766519823788547,0.4671361502347418,0.8190316642882257
SMSSpamCollection.csv,svm,fasttext,2,"{'C': 0.1, 'kernel': 'linear'}",0.8634361233480177,0.46335697399527187,0.8001582987054915
SMSSpamCollection.csv,svm,fasttext,3,"{'C': 0.1, 'kernel': 'linear'}",0.8898678414096917,0.47086247086247085,0.8380107410944415
SMSSpamCollection.csv,svm,fasttext,4,"{'C': 0.1, 'kernel': 'linear'}",0.8546255506607929,0.46080760095011875,0.7876358994213484
SMSSpamCollection.csv,svm,fasttext,5,"{'C': 0.1, 'kernel': 'linear'}",0.8458149779735683,0.45823389021479716,0.7751621755175424
SMSSpamCollection.csv,svm,fasttext,6,"{'C': 0.1, 'kernel': 'linear'}",0.8898678414096917,0.47086247086247085,0.8380107410944415
SMSSpamCollection.csv,svm,fasttext,7,"{'C': 0.1, 'kernel': 'linear'}",0.8539823008849557,0.4606205250596659,0.7867235516505797
SMSSpamCollection.csv,svm,fasttext,8,"{'C': 0.1, 'kernel': 'linear'}",0.8362831858407079,0.45542168674698796,0.76172299818744
SMSSpamCollection.csv,svm,fasttext,9,"{'C': 0.1, 'kernel': 'linear'}",0.8362831858407079,0.45542168674698796,0.76172299818744
SMSSpamCollection.csv,svm,fasttext,10,"{'C': 0.1, 'kernel': 'linear'}",0.8672566371681416,0.46445497630331756,0.8056033217296481
