dataset,model,representation,fold,best_params,accuracy,f1_macro,f1_weighted
SMSSpamCollection.csv,dt,word2vec,1,"{'max_depth': 10, 'min_samples_split': 5}",0.8986784140969163,0.7822133233220707,0.9021863987588092
SMSSpamCollection.csv,dt,word2vec,2,"{'max_depth': 10, 'min_samples_split': 2}",0.9251101321585903,0.8344132160480584,0.9234905443709022
SMSSpamCollection.csv,dt,word2vec,3,"{'max_depth': 10, 'min_samples_split': 5}",0.920704845814978,0.8108333333333333,0.923245227606461
SMSSpamCollection.csv,dt,word2vec,4,"{'max_depth': 10, 'min_samples_split': 5}",0.8722466960352423,0.7396480126557248,0.8714281856440108
SMSSpamCollection.csv,dt,word2vec,5,"{'max_depth': 10, 'min_samples_split': 5}",0.8810572687224669,0.7636237417563345,0.878855390091852
SMSSpamCollection.csv,dt,word2vec,6,"{'max_depth': None, 'min_samples_split': 5}",0.8986784140969163,0.7822133233220707,0.9063959803530808
SMSSpamCollection.csv,dt,word2vec,7,"{'max_depth': None, 'min_samples_split': 5}",0.8716814159292036,0.7325662055739177,0.8691210132846278
SMSSpamCollection.csv,dt,word2vec,8,"{'max_depth': 10, 'min_samples_split': 5}",0.8584070796460177,0.7520910462086933,0.8612804859551345
SMSSpamCollection.csv,dt,word2vec,9,"{'max_depth': 10, 'min_samples_split': 5}",0.8982300884955752,0.8161626878868258,0.8987735812148384
SMSSpamCollection.csv,dt,word2vec,10,"{'max_depth': 20, 'min_samples_split': 2}",0.8982300884955752,0.7619418365010304,0.8942450518875477
