dataset,model,representation,fold,best_params,accuracy,f1_macro,f1_weighted
SMSSpamCollection.csv,svm,tfidf,1,"{'C': 10, 'kernel': 'linear'}",0.9779735682819384,0.9498431216580494,0.978139041497373
SMSSpamCollection.csv,svm,tfidf,2,"{'C': 10, 'kernel': 'linear'}",0.9779735682819384,0.9512980047200172,0.9774972189326184
SMSSpamCollection.csv,svm,tfidf,3,"{'C': 10, 'kernel': 'linear'}",0.986784140969163,0.966866150926872,0.9868973113671305
SMSSpamCollection.csv,svm,tfidf,4,"{'C': 10, 'kernel': 'linear'}",0.9955947136563876,0.9910223452639906,0.9955664891601383
SMSSpamCollection.csv,svm,tfidf,5,"{'C': 10, 'kernel': 'linear'}",0.9823788546255506,0.9654068881438586,0.982165370770435
SMSSpamCollection.csv,svm,tfidf,6,"{'C': 10, 'kernel': 'linear'}",0.9911894273127754,0.9767036124794746,0.9910275746330737
SMSSpamCollection.csv,svm,tfidf,7,"{'C': 10, 'kernel': 'linear'}",0.9690265486725663,0.9317721136843922,0.9674649855293495
SMSSpamCollection.csv,svm,tfidf,8,"{'C': 10, 'kernel': 'linear'}",0.9734513274336283,0.9492894540014959,0.9728317922174198
SMSSpamCollection.csv,svm,tfidf,9,"{'C': 10, 'kernel': 'linear'}",0.9867256637168141,0.9760212201591512,0.9867965540715006
SMSSpamCollection.csv,svm,tfidf,10,"{'C': 10, 'kernel': 'linear'}",0.9734513274336283,0.9388528138528138,0.9726372447611386
